,area,energy
0,116749.506166,70.1583843332
1,179700.403752,98.2854810881
2,9447534.19743,71.7319255205
3,836858.600855,75.3098360837
4,87786.1324824,82.4765536197
5,15771.4409438,95.254230727
6,9288.72876834,106.054906049
7,1222771.33604,91.9913636492
8,698418.797566,76.5041228336
9,420371.93158,87.2556113944
10,3927988.96564,94.9832558737
11,16820.9964467,108.412143756
12,18877643.7527,98.5952949289
13,1088500.85432,50.0769302365
14,12010.9532408,67.7917530206
15,25884.9817567,85.6892580599
16,17880.0723972,100.675812889
17,178294.499778,120.532880035
18,551601.492828,119.07699185
19,2479964.86437,81.0509840498
20,53594.3937197,100.993686932
21,5903.8855518,116.105713736
22,804984.576513,112.068243382
23,2664.98470624,92.4090182454
24,250278.249315,122.862652124
25,314005.434282,89.8692245593
26,586253.131796,73.6455223731
27,14687.4511298,142.009114668
28,3653317.58438,76.1327668951
29,12150.7343927,90.2988485204
30,962032.720456,116.592707899
31,4961.12375408,53.281823065
32,40238.5609333,72.6245353295
33,553353.756676,78.9172887392
34,545585.133562,56.0710981888
35,282169.356008,78.1499160827
36,428849.214673,83.616281869
37,450173.839019,58.4942946516
38,70953.5778592,88.7047095645
39,79825.5841092,74.9100306573
40,1480784.7844,91.0849605522
41,1795714.71736,107.559553028
42,12379368.4681,10974.4723389
43,1365970.63935,117.339149543
44,3607355.74119,67.4830576263
45,338214.932296,88.6419258862
46,762500.350028,76.9235591801
47,2151845.59808,77.2938888747
48,202383.778159,79.2520454457
49,3213071.90033,95.5537398147
50,31551.8649107,88.1084274993
51,7907176.54886,82.7620368059
52,69696.5089602,93.1222687251
53,35248.242769,102.331854329
54,133957.182188,83.7403115043
55,351130.295541,97.2888598901
56,10727518.2245,117.321925224
57,17469.8165576,86.8107037902
58,15775272.6318,115.548276305
59,741231.591473,89.4258640982
60,424424.793543,93.5446356452
61,77457.0911845,116.96587891
62,168158.853252,61.5874227506
63,10481.1400012,83.183406327
64,747614.495638,111.263469763
65,9540577.5275,106.52294652
66,405836.611561,69.5840947046
67,25171.9308185,159.941955471
68,803391.936607,92.8200326702
69,1068138.3754,95.4124377021
70,5527.40635318,112.881034744
71,3211639.19529,137.248400686
72,110576.110046,98.3355124803
73,5136.96064051,95.2332619167
74,1197121.32958,57.3689349847
75,573247.086174,103.399400322
76,18690.6889578,118.788286913
77,67888.8622295,64.1813009053
78,319828.003916,70.9584238102
79,8084.32090333,96.4868864225
80,40126.0935042,114.058579462
81,12777890.814,96.0838074768
82,2004991.01628,80.4668830275
83,3138956.3293,100.941475596
84,4645578.19538,90.8465531835
85,3224702.04481,126.986090312
86,36385.7864571,92.03378611
87,170002.793915,111.88257175
88,1621762.99818,72.4187270947
89,260107.828514,81.6816020031
90,217361.090781,86.289419528
91,20664.7125828,92.1491851684
92,4299179.40814,86.5085948755
93,4230.03671201,103.950091877
94,354486.798758,77.4475900209
95,1931030.10774,80.8545853059
96,4218.32656514,128.67921743
97,2203958.77096,147.640781258
98,3401102.5287,129.202010516
99,277689.485543,91.2994761722
100,90220.2067104,102.466495866
101,6817732.67978,87.3190081824
102,988984.879119,79.4316080191
103,512270.720894,74.0158549028
104,110404.843204,100.271457486
105,34433.9442603,101.250067255
106,123203.979818,13792.404341
107,277502.908161,80.2718068874
108,458684.75223,102.55156613
109,1362571.07809,68.311963738
110,106079.186171,116.051121112
111,8483.39307524,79.614279124
112,46165.7684072,120.107583729
